code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab,code_station_id,nom_station,type_donnee,saison
O2034010,O203401001,2020-01-01,1055.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,10.0,Expertisée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-01-04,1146.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,10.0,Expertisée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-01-07,990.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,10.0,Expertisée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-01-10,618.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,10.0,Expertisée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-01-13,460.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,10.0,Expertisée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-01-16,420.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,10.0,Expertisée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-01-19,483.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,10.0,Expertisée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-01-22,7083.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,10.0,Expertisée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-01-25,2294.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,10.0,Expertisée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-01-28,1394.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,10.0,Expertisée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-01-31,1386.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,8.0,Calculée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-02-03,1160.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,4.0,Reconstituée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-02-06,1063.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,4.0,Reconstituée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-02-09,730.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,4.0,Reconstituée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-02-12,631.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,4.0,Reconstituée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-02-15,563.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,4.0,Reconstituée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-02-18,516.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,4.0,Reconstituée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-02-21,471.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,4.0,Reconstituée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-02-24,642.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,4.0,Reconstituée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-02-27,2366.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,4.0,Reconstituée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Hiver
O2034010,O203401001,2020-03-01,1342.0,2025-04-24T14:03:08Z,12.0,Donnée pré-validée,4.0,Reconstituée,20.0,Bonne,1.355595167,43.691837186,QmnJ,O203401001,L'Aussonnelle à Seilh,QmnJ,Printemps
