code_site,libelle_site,code_station,libelle_station,type_station,coordonnee_x_station,coordonnee_y_station,code_projection,longitude_station,latitude_station,influence_locale_station,commentaire_station,altitude_ref_alti_station,code_systeme_alti_site,code_commune_station,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,descriptif_station,date_maj_station,date_ouverture_station,date_fermeture_station,commentaire_influence_locale_station,code_regime_station,qualification_donnees_station,code_finalite_station,type_contexte_loi_stat_station,type_loi_station,code_sandre_reseau_station,date_debut_ref_alti_station,date_activation_ref_alti_station,date_maj_ref_alti_station,libelle_departement,en_service,geometry
O0302510,Le Salat à Couflens [Phelips],O030251001,Le Salat à Couflens [Phelips] - 1,STD,551441.0,6189415.0,26,1.186179324,42.788898078,1.0,,,,09100,COUFLENS,09,76,OCCITANIE,O0--0250,Le Salat,http://id.eaufrance.fr/CEA/O0--0250,1,2021-05-12T00:00:00Z,1913-01-01T00:00:00Z,1932-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.186179323837158, 42.78889807791135]}"
O0302510,Le Salat à Couflens [Phelips],O030251002,Le Salat à Couflens [Phelips],STD,551786.0,6187939.0,26,1.190802931,42.775700973,1.0,,,,09100,COUFLENS,09,76,OCCITANIE,O0--0250,Le Salat,http://id.eaufrance.fr/CEA/O0--0250,,2021-05-12T00:00:00Z,1955-01-01T00:00:00Z,1972-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.1908029306749213, 42.77570097335343]}"
O0302520,Le Salat à Couflens [Salau],O030252001,Le Salat à Couflens [Salau],STD,551478.0,6185771.0,26,1.187651897,42.756148873,1.0,,,,09100,COUFLENS,09,76,OCCITANIE,O0--0250,Le Salat,http://id.eaufrance.fr/CEA/O0--0250,,2021-05-12T00:00:00Z,1923-01-01T00:00:00Z,1927-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.187651896615818, 42.75614887336569]}"
O0305610,Le Cougnets à Couflens [Salau 2],O030561001,Le Cougnets à Couflens [Salau 2],STD,552344.0,6184969.0,26,1.198438876,42.749117783,1.0,,,,09100,COUFLENS,09,76,OCCITANIE,O0300560,Ruisseau des Cougnets,http://id.eaufrance.fr/CEA/O0300560,,2021-05-12T00:00:00Z,1911-01-01T00:00:00Z,1921-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.198438875708245, 42.74911778258979]}"
O0305610,Le Cougnets à Couflens [Salau 2],O030561002,Le Cougnets à Couflens [Salau 2] - Salau 3,STD,551580.0,6185777.0,26,1.188894442,42.756223849,1.0,,,,09100,COUFLENS,09,76,OCCITANIE,O0300560,Ruisseau des Cougnets,http://id.eaufrance.fr/CEA/O0300560,Salau 3,2021-05-12T00:00:00Z,1923-01-01T00:00:00Z,1937-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.188894441764934, 42.75622384905995]}"
O0306510,L'Angouls à Seix [Angouls],O030651001,L'Angouls à Seix [Angouls],STD,550779.0,6189403.0,26,1.178102923,42.788653179,1.0,,,,09285,SEIX,09,76,OCCITANIE,O0300650,Ruisseau d'Angouls,http://id.eaufrance.fr/CEA/O0300650,,2021-05-12T00:00:00Z,1921-01-01T00:00:00Z,1926-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.1781029231553468, 42.788653179135764]}"
O0315010,L'Alet à Ustou,O031501001,L'Alet à Ustou,STD,558337.0,6190606.0,26,1.270029427,42.800995945,1.0,,,,09322,USTOU,09,76,OCCITANIE,O0310500,Rivière Alet,http://id.eaufrance.fr/CEA/O0310500,,2021-05-12T00:00:00Z,1913-01-01T00:00:00Z,1928-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.270029427420768, 42.80099594496134]}"
O0315110,L'Ossèse à Ustou,O031511001,L'Ossèse à Ustou,STD,558064.0,6187503.0,26,1.267527921,42.77304745,1.0,,,,09322,USTOU,09,76,OCCITANIE,O0310590,Ruisseau Ossèse,http://id.eaufrance.fr/CEA/O0310590,,2021-05-12T00:00:00Z,1909-01-01T00:00:00Z,1945-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.2675279210758275, 42.77304745044009]}"
O0335020,L'Estours à Seix [Estours],O033502001,L'Estours à Seix [Estours],STD,547848.0,6191859.0,26,1.141624694,42.810117039,1.0,,,,09285,SEIX,09,76,OCCITANIE,O0330500,Ruisseau d'Estours,http://id.eaufrance.fr/CEA/O0330500,,2021-05-12T00:00:00Z,1909-01-01T00:00:00Z,1945-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.1416246938959018, 42.81011703885586]}"
O0342510,Le Salat à Seix,O034251001,Le Salat à Seix,STD,552603.0,6197341.0,26,1.198153885,42.860389629,1.0,,,,09285,SEIX,09,76,OCCITANIE,O0--0250,Le Salat,http://id.eaufrance.fr/CEA/O0--0250,,2021-05-12T00:00:00Z,1908-01-01T00:00:00Z,1942-01-01T00:00:00Z,,1,20,1 2,1.0,2.0,,,,,ARIEGE,False,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.1981538853700915, 42.860389629376584]}"
